PyTorch Version: 2.0.0
CUDA device available: True
Using CUDA device: cuda:0
Random Seed: 1
Task Importance Weight: 0
Output Path: cacd-ordinal
Script: /home/alumne/Desktop/TREBALL/Starting point/model-code/cacd-ordinal-copy.py
Epoch: 009/040 | Batch 0350/0448 | Cost: 16.1525
Epoch: 009/040 | Batch 0400/0448 | Cost: 16.2467
MAE/RMSE: | Current Valid: 7.31/9.37 Ep. 8 | Best Valid : 7.31/9.37 Ep. 8
Time elapsed: 72.65 min
Epoch: 010/040 | Batch 0000/0448 | Cost: 27.0271
Epoch: 010/040 | Batch 0050/0448 | Cost: 15.7598
Epoch: 010/040 | Batch 0100/0448 | Cost: 16.7895
Epoch: 010/040 | Batch 0150/0448 | Cost: 15.2562
Epoch: 010/040 | Batch 0200/0448 | Cost: 16.7130
Epoch: 010/040 | Batch 0250/0448 | Cost: 16.5930
Epoch: 010/040 | Batch 0300/0448 | Cost: 16.2225
Epoch: 010/040 | Batch 0350/0448 | Cost: 14.8096
Epoch: 010/040 | Batch 0400/0448 | Cost: 16.1447
MAE/RMSE: | Current Valid: 7.10/9.13 Ep. 9 | Best Valid : 7.10/9.13 Ep. 9
Time elapsed: 80.45 min
Epoch: 011/040 | Batch 0000/0448 | Cost: 31.4066
Epoch: 011/040 | Batch 0050/0448 | Cost: 16.0243
Epoch: 011/040 | Batch 0100/0448 | Cost: 16.9725
Epoch: 011/040 | Batch 0150/0448 | Cost: 15.8735
Epoch: 011/040 | Batch 0200/0448 | Cost: 14.8806
Epoch: 011/040 | Batch 0250/0448 | Cost: 14.7715
Epoch: 011/040 | Batch 0300/0448 | Cost: 16.5009
Epoch: 011/040 | Batch 0350/0448 | Cost: 14.8508
Epoch: 011/040 | Batch 0400/0448 | Cost: 14.7256
MAE/RMSE: | Current Valid: 7.05/9.02 Ep. 10 | Best Valid : 7.05/9.02 Ep. 10
Time elapsed: 88.25 min
Epoch: 012/040 | Batch 0000/0448 | Cost: 28.5153
Epoch: 012/040 | Batch 0050/0448 | Cost: 14.4585
Epoch: 012/040 | Batch 0100/0448 | Cost: 15.4788
Epoch: 012/040 | Batch 0150/0448 | Cost: 15.3072
Epoch: 012/040 | Batch 0200/0448 | Cost: 15.1734
Epoch: 012/040 | Batch 0250/0448 | Cost: 14.7391
Epoch: 012/040 | Batch 0300/0448 | Cost: 14.0486
Epoch: 012/040 | Batch 0350/0448 | Cost: 16.0915
Epoch: 012/040 | Batch 0400/0448 | Cost: 16.2831
MAE/RMSE: | Current Valid: 7.01/9.12 Ep. 11 | Best Valid : 7.01/9.12 Ep. 11
Time elapsed: 96.06 min
Epoch: 013/040 | Batch 0000/0448 | Cost: 24.7303
Epoch: 013/040 | Batch 0050/0448 | Cost: 15.7906
