
Time elapsed: 50.40 min
Epoch: 010/040 | Batch 0000/0448 | Cost: 23.7177
Epoch: 010/040 | Batch 0050/0448 | Cost: 18.4771
Epoch: 010/040 | Batch 0100/0448 | Cost: 18.6203
Epoch: 010/040 | Batch 0150/0448 | Cost: 18.8557
Epoch: 010/040 | Batch 0200/0448 | Cost: 18.5403
Epoch: 010/040 | Batch 0250/0448 | Cost: 18.4692
Epoch: 010/040 | Batch 0300/0448 | Cost: 17.9434
Epoch: 010/040 | Batch 0350/0448 | Cost: 17.3807
Epoch: 010/040 | Batch 0400/0448 | Cost: 17.9803
MAE/RMSE: | Current Valid: 6.97/8.87 Ep. 9 | Best Valid : 6.97/8.87 Ep. 9
Time elapsed: 55.75 min
Epoch: 011/040 | Batch 0000/0448 | Cost: 23.9372
Epoch: 011/040 | Batch 0050/0448 | Cost: 17.6738
Epoch: 011/040 | Batch 0100/0448 | Cost: 17.2617
Epoch: 011/040 | Batch 0150/0448 | Cost: 17.3639
Epoch: 011/040 | Batch 0200/0448 | Cost: 17.6513
Epoch: 011/040 | Batch 0250/0448 | Cost: 17.6791
Epoch: 011/040 | Batch 0300/0448 | Cost: 18.6354
Epoch: 011/040 | Batch 0350/0448 | Cost: 17.0153
Epoch: 011/040 | Batch 0400/0448 | Cost: 16.4960
MAE/RMSE: | Current Valid: 7.05/9.01 Ep. 10 | Best Valid : 6.97/8.87 Ep. 9
Time elapsed: 61.09 min
Epoch: 012/040 | Batch 0000/0448 | Cost: 21.1666
Epoch: 012/040 | Batch 0050/0448 | Cost: 17.0104
Epoch: 012/040 | Batch 0100/0448 | Cost: 17.8315
Epoch: 012/040 | Batch 0150/0448 | Cost: 16.4211
Epoch: 012/040 | Batch 0200/0448 | Cost: 17.7914
Epoch: 012/040 | Batch 0250/0448 | Cost: 15.9509
Epoch: 012/040 | Batch 0300/0448 | Cost: 16.9362
Epoch: 012/040 | Batch 0350/0448 | Cost: 17.3600
Epoch: 012/040 | Batch 0400/0448 | Cost: 16.7202
MAE/RMSE: | Current Valid: 6.88/8.74 Ep. 11 | Best Valid : 6.88/8.74 Ep. 11
Time elapsed: 66.49 min
Epoch: 013/040 | Batch 0000/0448 | Cost: 20.4102
Epoch: 013/040 | Batch 0050/0448 | Cost: 16.8687
Epoch: 013/040 | Batch 0100/0448 | Cost: 16.3928
Epoch: 013/040 | Batch 0150/0448 | Cost: 17.1796
Epoch: 013/040 | Batch 0200/0448 | Cost: 15.7367
Epoch: 013/040 | Batch 0250/0448 | Cost: 15.9133
Epoch: 013/040 | Batch 0300/0448 | Cost: 16.9373
Epoch: 013/040 | Batch 0350/0448 | Cost: 15.9048
Epoch: 013/040 | Batch 0400/0448 | Cost: 16.4695
MAE/RMSE: | Current Valid: 6.51/8.51 Ep. 12 | Best Valid : 6.51/8.51 Ep. 12
Time elapsed: 71.88 min
Epoch: 014/040 | Batch 0000/0448 | Cost: 19.7482
Epoch: 014/040 | Batch 0050/0448 | Cost: 15.5935
Epoch: 014/040 | Batch 0100/0448 | Cost: 16.5183
Epoch: 014/040 | Batch 0150/0448 | Cost: 15.8794
Epoch: 014/040 | Batch 0200/0448 | Cost: 14.9461
Epoch: 014/040 | Batch 0250/0448 | Cost: 16.2489
Epoch: 014/040 | Batch 0300/0448 | Cost: 16.0442
Epoch: 014/040 | Batch 0350/0448 | Cost: 15.6021
Epoch: 014/040 | Batch 0400/0448 | Cost: 15.9778
MAE/RMSE: | Current Valid: 6.47/8.38 Ep. 13 | Best Valid : 6.47/8.38 Ep. 13
Time elapsed: 77.21 min
Epoch: 015/040 | Batch 0000/0448 | Cost: 18.8301
Epoch: 015/040 | Batch 0050/0448 | Cost: 15.9223
Epoch: 015/040 | Batch 0100/0448 | Cost: 16.2157
Epoch: 015/040 | Batch 0150/0448 | Cost: 16.1713
Epoch: 015/040 | Batch 0200/0448 | Cost: 15.0751
Epoch: 015/040 | Batch 0250/0448 | Cost: 16.3791
Epoch: 015/040 | Batch 0300/0448 | Cost: 15.7567
Epoch: 015/040 | Batch 0350/0448 | Cost: 15.3244
Epoch: 015/040 | Batch 0400/0448 | Cost: 14.9832
MAE/RMSE: | Current Valid: 6.32/8.21 Ep. 14 | Best Valid : 6.32/8.21 Ep. 14
Time elapsed: 82.75 min
Epoch: 016/040 | Batch 0000/0448 | Cost: 20.6957
Epoch: 016/040 | Batch 0050/0448 | Cost: 14.9590
Epoch: 016/040 | Batch 0100/0448 | Cost: 15.7680
Epoch: 016/040 | Batch 0150/0448 | Cost: 14.4838
Epoch: 016/040 | Batch 0200/0448 | Cost: 15.6062
Epoch: 016/040 | Batch 0250/0448 | Cost: 15.3772
Epoch: 016/040 | Batch 0300/0448 | Cost: 15.0623
Epoch: 016/040 | Batch 0350/0448 | Cost: 14.6122
Epoch: 016/040 | Batch 0400/0448 | Cost: 16.3146
MAE/RMSE: | Current Valid: 6.16/8.02 Ep. 15 | Best Valid : 6.16/8.02 Ep. 15
Time elapsed: 88.16 min
Epoch: 017/040 | Batch 0000/0448 | Cost: 28.5069
Epoch: 017/040 | Batch 0050/0448 | Cost: 14.7835
Epoch: 017/040 | Batch 0100/0448 | Cost: 14.6437
Epoch: 017/040 | Batch 0150/0448 | Cost: 14.5179
Epoch: 017/040 | Batch 0200/0448 | Cost: 14.4826
Epoch: 017/040 | Batch 0250/0448 | Cost: 13.8136
Epoch: 017/040 | Batch 0300/0448 | Cost: 15.0559
Epoch: 017/040 | Batch 0350/0448 | Cost: 15.3019
Epoch: 017/040 | Batch 0400/0448 | Cost: 14.0838
MAE/RMSE: | Current Valid: 6.21/8.12 Ep. 16 | Best Valid : 6.16/8.02 Ep. 15
Time elapsed: 93.61 min
Epoch: 018/040 | Batch 0000/0448 | Cost: 27.7427
Epoch: 018/040 | Batch 0050/0448 | Cost: 21.6322
Epoch: 018/040 | Batch 0100/0448 | Cost: 20.9721
Epoch: 018/040 | Batch 0150/0448 | Cost: 20.8300
Epoch: 018/040 | Batch 0200/0448 | Cost: 20.2333
Epoch: 018/040 | Batch 0250/0448 | Cost: 18.8304
Epoch: 018/040 | Batch 0300/0448 | Cost: 16.1194
Epoch: 018/040 | Batch 0350/0448 | Cost: 16.9767
Epoch: 018/040 | Batch 0400/0448 | Cost: 15.9393
MAE/RMSE: | Current Valid: 6.70/8.71 Ep. 17 | Best Valid : 6.16/8.02 Ep. 15
Time elapsed: 98.97 min
Epoch: 019/040 | Batch 0000/0448 | Cost: 42.3139
Epoch: 019/040 | Batch 0050/0448 | Cost: 14.5294
Epoch: 019/040 | Batch 0100/0448 | Cost: 15.6032
Epoch: 019/040 | Batch 0150/0448 | Cost: 14.9692
Epoch: 019/040 | Batch 0200/0448 | Cost: 14.5434
Epoch: 019/040 | Batch 0250/0448 | Cost: 14.8145
Epoch: 019/040 | Batch 0300/0448 | Cost: 14.9145
Epoch: 019/040 | Batch 0350/0448 | Cost: 14.8570
Epoch: 019/040 | Batch 0400/0448 | Cost: 14.5706
MAE/RMSE: | Current Valid: 6.30/8.17 Ep. 18 | Best Valid : 6.16/8.02 Ep. 15
Time elapsed: 104.46 min
Epoch: 020/040 | Batch 0000/0448 | Cost: 24.1549
Epoch: 020/040 | Batch 0050/0448 | Cost: 14.0366
Epoch: 020/040 | Batch 0100/0448 | Cost: 15.4848
Epoch: 020/040 | Batch 0150/0448 | Cost: 15.2869
Epoch: 020/040 | Batch 0200/0448 | Cost: 14.4179
Epoch: 020/040 | Batch 0250/0448 | Cost: 14.7961
Epoch: 020/040 | Batch 0300/0448 | Cost: 14.0681
Epoch: 020/040 | Batch 0350/0448 | Cost: 14.0995
Epoch: 020/040 | Batch 0400/0448 | Cost: 14.7545
MAE/RMSE: | Current Valid: 6.14/8.10 Ep. 19 | Best Valid : 6.14/8.10 Ep. 19
Time elapsed: 110.18 min
Epoch: 021/040 | Batch 0000/0448 | Cost: 21.8683
Epoch: 021/040 | Batch 0050/0448 | Cost: 14.5419
Epoch: 021/040 | Batch 0100/0448 | Cost: 12.8488
Epoch: 021/040 | Batch 0150/0448 | Cost: 13.3224
Epoch: 021/040 | Batch 0200/0448 | Cost: 14.2813
Epoch: 021/040 | Batch 0250/0448 | Cost: 14.1272
Epoch: 021/040 | Batch 0300/0448 | Cost: 14.2692
Epoch: 021/040 | Batch 0350/0448 | Cost: 13.2184
Epoch: 021/040 | Batch 0400/0448 | Cost: 13.7101
MAE/RMSE: | Current Valid: 6.07/8.00 Ep. 20 | Best Valid : 6.07/8.00 Ep. 20
Time elapsed: 115.57 min
Epoch: 022/040 | Batch 0000/0448 | Cost: 23.8974
Epoch: 022/040 | Batch 0050/0448 | Cost: 13.9548
Epoch: 022/040 | Batch 0100/0448 | Cost: 13.1992
Epoch: 022/040 | Batch 0150/0448 | Cost: 13.0960
Epoch: 022/040 | Batch 0200/0448 | Cost: 13.3708
Epoch: 022/040 | Batch 0250/0448 | Cost: 13.3799
Epoch: 022/040 | Batch 0300/0448 | Cost: 14.5290
Epoch: 022/040 | Batch 0350/0448 | Cost: 13.9531
Epoch: 022/040 | Batch 0400/0448 | Cost: 14.8219
MAE/RMSE: | Current Valid: 6.06/8.02 Ep. 21 | Best Valid : 6.06/8.02 Ep. 21
Time elapsed: 120.99 min
Epoch: 023/040 | Batch 0000/0448 | Cost: 22.5206
Epoch: 023/040 | Batch 0050/0448 | Cost: 12.9718
Epoch: 023/040 | Batch 0100/0448 | Cost: 14.1251
Epoch: 023/040 | Batch 0150/0448 | Cost: 13.1940
Epoch: 023/040 | Batch 0200/0448 | Cost: 13.4918
Epoch: 023/040 | Batch 0250/0448 | Cost: 14.7941
Epoch: 023/040 | Batch 0300/0448 | Cost: 15.1409
Epoch: 023/040 | Batch 0350/0448 | Cost: 14.8069
Epoch: 023/040 | Batch 0400/0448 | Cost: 14.5450
MAE/RMSE: | Current Valid: 6.17/8.06 Ep. 22 | Best Valid : 6.06/8.02 Ep. 21
Time elapsed: 126.52 min
Epoch: 024/040 | Batch 0000/0448 | Cost: 19.0965
Epoch: 024/040 | Batch 0050/0448 | Cost: 12.6910
Epoch: 024/040 | Batch 0100/0448 | Cost: 12.7833
Epoch: 024/040 | Batch 0150/0448 | Cost: 12.0399
Epoch: 024/040 | Batch 0200/0448 | Cost: 13.5343
Epoch: 024/040 | Batch 0250/0448 | Cost: 13.8895
Epoch: 024/040 | Batch 0300/0448 | Cost: 12.8284
